seed,same_resolution_mae,cross_resolution_mae,permuted_coarse_mae,embedding_l2_mean,fine_nodes,coarse_nodes,train_n,test_n
101,0.5039190742137017,0.5998214812957314,0.6019595840649781,0.05811017816838357,16,8,300,200
202,0.5213296875104314,0.6432911059284515,0.6446953533327258,0.05814908877037348,16,8,300,200
303,0.48508396247313385,0.5917215475912062,0.5899700341630338,0.05773102034184723,16,8,300,200
404,0.47282612785339795,0.5347909937575698,0.5345069723480789,0.056752379044057916,16,8,300,200
505,0.5062300686325267,0.7809133616961366,0.7855217525235167,0.058025063291191635,16,8,300,200
